DatasetID,StudySite,Location,FirstAuthor,Pubyear,Publication_name,Volume,startpage,warming_type,warming_type_detail,no_spp,habitat,Lat,Long,Elev_m,data_startyear,data_endyear,exp_startyear,obsfreq_days,airtemp_freq_hours,soiltemp_freq_hr,soilmois_freq_hr,Tsoildepth1_cm,Tsoildepth2_cm,Msoildepth1_cm,Msoildepth2_cm,temptreat_1,temptreat_2,temptreat_3,temptreat_4,temptreat_5,temptreat_6,temptreat_7,temptreat_8,temptreat_9,temptreat_units,preciptreat_1,preciptreat_-1,preciptreat_units,temptreat_1_reported,temptreat_2_reported,temptreat_3_reported,temptreat_4_reported,temptreat_5_reported,temptreat_6_reported,temptreat_7_reported,temptreat_8_reported,temptreat_9_reported,expdesign,analysis,analysis_notes
exp01,bace,"Waltham, MA",Hoeppner,2012,Global change biology,12,1754,infrared,suspended infrared heaters,18,grassland,42.3839876,-71.2122846,18,2010,2014,2009,,NA,24,240,2,10,30,NA,1,2.7,4,NA,NA,NA,NA,NA,NA,C,150,50,perc,1,2.7,4,NA,NA,NA,NA,NA,NA,complete block,categorical,ANOVA
exp02,chuine,"Montpelier, France",Morin,2010,New Phyt.,186,900,infrared,,3,temperate deciduous forest,44.06,4.43,57,2002,2005,2002,,24,168,,NA,NA,15,30,1.5,3,NA,NA,NA,NA,NA,NA,NA,C,NA,70,perc,1.5,3,NA,NA,NA,NA,NA,NA,NA,complete block,,
exp03,clarkduke,"Duke Forest, NC",Clark,2014,Funct. Ecol.,28,1344,forecd air & soil warming,,15,temperate deciduous forest,36,-79.1,130,2009,2012,2009,7,1,1,1,10,NA,,NA,3,5,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,random,continuous,climate variables used directly
exp04,clarkharvard,"Harvard Forest, MA",Clark,2014,Funct. Ecol.,28,1344,forecd air & soil warming,,15,temperate deciduous forest,42.5,-72.2,340,2009,2012,2009,7,1,1,1,10,NA,,NA,3,5,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,random,continuous,climate variables used directly
exp05,cleland,"Jasper Ridge, CA",Cleland,2006,PNAS,103,13740,infrared,,9,grassland,37.24,-122.14,120,2000,2002,1998,3,NA,744,8760,15,NA,15,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,C,150,NA,perc,1,NA,NA,NA,NA,NA,NA,NA,NA,"block split-plot, plot includes plot and quad",categorical,ANOVA
exp06,dunne,"RMBL, CO",Dunne,2003,Ecological Monographs,73,69,infrared,electric radiant heaters suspended 2.5 m above ground,11,subalpine meadow,38.883,-107.033,2920,1995,1998,1991,7,2,2,2,12,25,12,25,1.5,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,stratified,categorical,"ANOVA, also did ANOVA of microclimate data"
exp07,ellison,"Harvard Forest, MA",Ellison,2011,MEE,2,534,forecd air,forced air blown over hydronic radiators fed by a closed-loop mixture of hot water and antifreeze,,temperate deciduous forest,42.53,-72.19,340,2009,2010,2009,14,1,1,1,2,6,,NA,1.5,2,2.5,3,3.5,4,4.5,5,5.5,C,NA,NA,NA,1.4,2,2.3,2.6,3.2,4,4.3,4.6,5.2,regression,,
exp08,farnsworth,"Harvard Forest, MA",Farnsworth,1995,Journal of Ecology,83,967,soil warming,,3,temperate deciduous forest,42.54,-72.18,365,1993,1993,1991,20,,24,4,5,NA,,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,complete block,categorical,ANOVA
exp09,force,"Stone Valley Forest, PA",Rollinson,2012,Global change biology,18,1108,infrared,suspended infrared heaters,,temperate deciduous forest,40.6833,-77.9,281,2009,2010,2008,7,1,1,1,3,NA,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,C,120,NA,perchistmean,2.3,NA,NA,NA,NA,NA,NA,NA,NA,complete block,categorical,
exp10,marchin,"Duke Forest, NC",Marchin,2015,Global change biology,21,3138,forecd air,forced air blown over hydronic radiators fed by a closed-loop mixture of hot water and antifreeze,11,temperate deciduous forest,36,-79.1,130,2010,2012,2010,7,1,1,1,2,6,,NA,1.5,2,2.5,3,3.5,4,4.5,5,5.5,C,NA,NA,NA,1.5435,2.073,1.854,2.5685,2.9195,3.5125,4.0765,4.4915,5.361,regression,,
exp11,price,"RMBL, CO",Price,1998,Ecology,79,1261,infrared,suspended infrared heaters,10,subalpine,38.883,-107.033,2920,1991,1994,1991,7,NA,2,NA,12,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,stratified,categorical,ANOVA
exp12,sherry,"Kessler Farm, OK",Sherry,2007,PNAS,104,198,infrared,,12,grassland,34.58,-97.31,339,2003,2003,2003,14,1,1,1,7.5,22.5,15,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,C,200,NA,perc,4.17,NA,NA,NA,NA,NA,NA,NA,NA,unknown,categorical,ANOVA
